tower_id,latitude,longitude,operator,technology,data_source
31116546,31.5562,74.2737,1,LTE,REAL PUBLIC DATA
31099905,31.5442,74.2667,1,LTE,REAL PUBLIC DATA
33246217,31.5392,74.2652,1,LTE,REAL PUBLIC DATA
32461570,31.5414,74.2656,1,LTE,REAL PUBLIC DATA
31545889,31.546,74.2672,1,LTE,REAL PUBLIC DATA
33009667,31.5507,74.2698,1,LTE,REAL PUBLIC DATA
31097877,31.5536,74.2726,1,LTE,REAL PUBLIC DATA
33190175,31.5567,74.2713,1,LTE,REAL PUBLIC DATA
33190198,31.5569,74.2699,1,LTE,REAL PUBLIC DATA
33190196,31.5566,74.2689,1,LTE,REAL PUBLIC DATA
33190195,31.5561,74.2674,1,LTE,REAL PUBLIC DATA
31548192,31.5548,74.2661,1,LTE,REAL PUBLIC DATA
31548191,31.5542,74.2655,1,LTE,REAL PUBLIC DATA
31548214,31.554,74.2653,1,LTE,REAL PUBLIC DATA
31548191,31.554,74.2652,7,LTE,REAL PUBLIC DATA
31548171,31.5545,74.2656,1,LTE,REAL PUBLIC DATA
33388,31.5232,74.2767,3,GSM,REAL PUBLIC DATA
21699,31.5231,74.2765,3,GSM,REAL PUBLIC DATA
39744,31.5233,74.2765,1,GSM,REAL PUBLIC DATA
19744,31.5233,74.2764,1,GSM,REAL PUBLIC DATA
34941,31.5233,74.2763,1,GSM,REAL PUBLIC DATA
1198921,31.5228,74.2763,3,UMTS,REAL PUBLIC DATA
29744,31.5233,74.2763,1,GSM,REAL PUBLIC DATA
24941,31.5233,74.2763,1,GSM,REAL PUBLIC DATA
19347,31.5235,74.2764,1,GSM,REAL PUBLIC DATA
1193921,31.5234,74.2764,3,UMTS,REAL PUBLIC DATA
31488,31.5231,74.2763,1,GSM,REAL PUBLIC DATA
29292,31.5237,74.2764,1,GSM,REAL PUBLIC DATA
23249,31.5235,74.2764,1,GSM,REAL PUBLIC DATA
31813889,31.5236,74.2765,3,LTE,REAL PUBLIC DATA
31813891,31.5236,74.2766,3,LTE,REAL PUBLIC DATA
33214473,31.5236,74.2765,1,LTE,REAL PUBLIC DATA
32416003,31.5285,74.281,1,LTE,REAL PUBLIC DATA
31100962,31.528,74.2792,1,LTE,REAL PUBLIC DATA
31100969,31.5274,74.2791,1,LTE,REAL PUBLIC DATA
33112067,31.5295,74.2803,1,LTE,REAL PUBLIC DATA
33112066,31.5289,74.2819,1,LTE,REAL PUBLIC DATA
31100960,31.5278,74.2784,1,LTE,REAL PUBLIC DATA
31984899,31.5257,74.2786,1,LTE,REAL PUBLIC DATA
31984897,31.5245,74.2822,1,LTE,REAL PUBLIC DATA
31101443,31.5257,74.2837,1,LTE,REAL PUBLIC DATA
31609089,31.53,74.2861,1,LTE,REAL PUBLIC DATA
32015875,31.5359,74.2901,1,LTE,REAL PUBLIC DATA
30735623,31.5444,74.2947,1,LTE,REAL PUBLIC DATA
30862082,31.5509,74.3002,1,LTE,REAL PUBLIC DATA
30753075,31.5563,74.3053,1,LTE,REAL PUBLIC DATA
30859011,31.5636,74.3048,1,LTE,REAL PUBLIC DATA
32017671,31.5695,74.3046,1,LTE,REAL PUBLIC DATA
30768385,31.5728,74.3058,1,LTE,REAL PUBLIC DATA
30778881,31.5782,74.3063,1,LTE,REAL PUBLIC DATA
33132291,31.5856,74.3067,1,LTE,REAL PUBLIC DATA
30764553,31.6002,74.2988,1,LTE,REAL PUBLIC DATA
31095860,31.6077,74.2961,1,LTE,REAL PUBLIC DATA
32795651,31.6261,74.2886,1,LTE,REAL PUBLIC DATA
32979464,31.6174,74.2904,1,LTE,REAL PUBLIC DATA
33172738,31.6344,74.2868,1,LTE,REAL PUBLIC DATA
31730998,31.645,74.2845,1,LTE,REAL PUBLIC DATA
31730978,31.645,74.2915,1,LTE,REAL PUBLIC DATA
31730976,31.6446,74.2871,1,LTE,REAL PUBLIC DATA
33240609,31.6498,74.297,1,LTE,REAL PUBLIC DATA
33002755,31.6521,74.2955,1,LTE,REAL PUBLIC DATA
33240608,31.6517,74.2947,1,LTE,REAL PUBLIC DATA
33001985,31.6544,74.2952,1,LTE,REAL PUBLIC DATA
32439042,31.655,74.2951,1,LTE,REAL PUBLIC DATA
